evid,origin_time,latitude,longitude,ml_KMA,mw_spectra,mw_mad_spectra,fc_spectra,fc_mad_spectra,nsta_spectra,mw_TD,mw_mad_TD,fc_TD,fc_mad_TD,nsta_TD
20191200000000 ,2019-12-17T07:00:30.000000Z,38.01,126,2.1,2.54,0.04,4.48,0.41,11,2.52,0.03,4.48,1.46,10
20191200000000 ,2019-12-23T21:19:16.000000Z,33.29,127.16,2.4,2.82,0.05,3.52,0.39,7,2.73,0.11,4.24,1.31,8
20191200000000 ,2019-12-28T23:43:26.000000Z,33.33,127.16,2.3,2.69,0.02,5.3,0.31,10,2.66,0.06,6.18,2.3,10
20191200000000 ,2019-12-29T15:32:08.000000Z,35.56,128.9,3.5,3.43,0.01,3.85,0.09,71,3.38,0.09,3.91,0.95,71
20191200000000 ,2019-12-29T16:44:02.000000Z,35.56,128.9,2.1,2.46,0.01,6.91,0.18,69,2.4,0.11,7.03,1.94,65
20200100000000 ,2020-01-07T21:03:00.000000Z,35.91,128.38,2,2.25,0.03,4.03,0.26,27,1.99,0.09,5.74,1.8,28
20200100000000 ,2020-01-15T13:46:11.000000Z,37.11,128.29,2.1,2.43,0.01,7,0.2,67,2.39,0.1,6.77,1.54,64
20200100000000 ,2020-01-29T15:52:52.000000Z,36.59,128.12,3.2,3.17,0.01,5.9,0.12,72,3.13,0.09,5.57,1.38,71
20200200000000 ,2020-02-09T05:41:26.000000Z,35.77,129.03,2.4,2.71,0.01,5.52,0.12,65,2.68,0.09,5.94,1.23,62
20200200000000 ,2020-02-16T11:03:35.000000Z,36.26,130.49,2.7,3,0.05,3.29,0.36,3,2.97,0.01,2.24,0.1,3
20200200000000 ,2020-02-29T13:02:19.000000Z,38.46,126.17,2.7,2.91,0.02,7.68,0.6,7,2.94,0.04,9.78,4.92,7
20200200000000 ,2020-02-29T13:03:50.000000Z,38.45,126.17,2.4,2.73,0.03,5.88,0.53,7,2.75,0.05,8.54,3.52,7
20200300000000 ,2020-03-09T16:16:33.000000Z,35.44,125.54,2,2.23,0.04,5.51,0.55,7,2.19,0.1,6.54,0.64,7
20200300000000 ,2020-03-20T07:02:45.000000Z,35.39,128.01,2.7,3.01,0.01,5.35,0.14,62,2.98,0.07,5.96,1.49,62
20200400000000 ,2020-04-17T22:36:28.000000Z,37.58,126.14,2.3,2.76,0.02,4.31,0.25,23,2.7,0.16,4.4,1.84,23
20200400000000 ,2020-04-23T17:07:22.000000Z,35.3,125.54,2.3,2.74,0.05,3.04,0.32,6,2.95,0.12,1.9,0.12,5
20200400000000 ,2020-04-27T02:07:10.000000Z,35.8,127.53,2.8,3.07,0.01,4.53,0.1,61,3.05,0.05,4.5,0.82,61
20200400000000 ,2020-04-28T03:06:53.000000Z,36.16,127.43,2.4,2.72,0.01,5.28,0.12,67,2.77,0.09,4.5,1.1,65
20200400000000 ,2020-04-28T03:52:01.000000Z,34.66,126.41,2.1,2.47,0.01,8.35,0.3,37,2.51,0.11,6.87,2.26,36
20200400000000 ,2020-04-29T22:13:13.000000Z,34.66,126.4,2.4,2.69,0.01,6.25,0.2,38,2.74,0.09,5.13,1.17,39
20200500000000 ,2020-05-01T17:57:02.000000Z,34.66,126.4,2.3,2.52,0.01,7.45,0.26,36,2.49,0.12,6.41,2.34,36
20200500000000 ,2020-05-03T13:07:14.000000Z,34.66,126.4,3.1,3.18,0.01,4.38,0.15,38,3.16,0.11,4.19,1.78,37
20200500000000 ,2020-05-04T21:44:29.000000Z,38.47,126.16,2.4,2.71,0.03,9.18,1.03,6,2.78,0.07,4.7,1.14,6
20200500000000 ,2020-05-06T17:07:31.000000Z,34.77,124.68,2.1,2.59,0.04,4.97,0.52,4,2.65,0.02,4.12,0.16,4
20200500000000 ,2020-05-08T16:57:39.000000Z,34.66,126.4,2.2,2.62,0.01,5.14,0.19,37,2.62,0.08,4.81,1.23,35
20200500000000 ,2020-05-11T10:45:06.000000Z,38.68,127.18,3.8,3.77,0.03,3.53,0.23,13,3.81,0.11,2.47,0.96,13
20200500000000 ,2020-05-13T06:19:02.000000Z,36.1,127.34,2.8,2.88,0.01,4.13,0.09,64,2.85,0.09,3.91,0.99,62
20200500000000 ,2020-05-22T12:18:32.000000Z,37.67,125,2.1,3.04,0.1,1.56,0.25,4,2.76,0.01,2.87,0.47,3
20200500000000 ,2020-05-27T10:23:28.000000Z,36.01,128.01,2.8,3.22,0.01,2.48,0.07,60,3.23,0.08,2.23,0.68,59
20200600000000 ,2020-06-07T15:52:10.000000Z,36.01,128.01,2.1,2.61,0.01,4.19,0.11,58,2.6,0.1,4.64,1.57,55
20200600000000 ,2020-06-21T00:49:52.000000Z,38.47,128.52,2.3,2.54,0.01,5.15,0.2,24,2.66,0.11,4.01,1.22,23
20200600000000 ,2020-06-23T10:58:05.000000Z,37.86,126.9,2.1,2.53,0.01,6.53,0.23,36,2.47,0.06,5.81,1.38,36
20200700000000 ,2020-07-03T04:59:31.000000Z,37.18,128.71,2.3,2.51,0.01,5.57,0.14,60,2.53,0.1,4.74,1.25,58
20200700000000 ,2020-07-07T05:08:23.000000Z,37.19,125.55,3.3,3.35,0.02,5.6,0.37,11,3.42,0.06,4.54,1.59,11
20200700000000 ,2020-07-11T13:38:55.000000Z,37.88,129.58,2.7,3.03,0.02,2.9,0.15,14,3.06,0.14,2.56,0.56,13
20200700000000 ,2020-07-15T06:20:47.000000Z,34.88,124.68,2.4,2.83,0.07,3.48,0.54,3,2.8,0.01,3.7,1.73,3
20200700000000 ,2020-07-20T10:02:00.000000Z,34.53,128.14,2,2.61,0.02,4.66,0.23,25,2.52,0.05,5.96,0.9,23
20200700000000 ,2020-07-24T15:34:06.000000Z,34.06,125.54,2.2,2.32,0.03,9.04,0.73,11,2.32,0.13,8.74,4.72,11
20200700000000 ,2020-07-31T17:58:47.000000Z,38.65,127.16,2,2.5,0.02,6.32,0.41,11,2.5,0.24,4.08,1.88,11
20200800000000 ,2020-08-01T04:15:06.000000Z,36.77,128.48,2,2.43,0.01,7.28,0.17,64,2.45,0.11,6.78,2.6,62
20200800000000 ,2020-08-20T18:52:51.000000Z,37.91,125.93,2.5,2.74,0.02,8.52,0.52,15,2.77,0.07,5.18,1.54,15
20200900000000 ,2020-09-02T10:43:06.000000Z,34.38,126.2,2.3,2.44,0.04,5.7,0.5,16,2.36,0.12,7.15,2.13,17
20200900000000 ,2020-09-12T04:31:05.000000Z,36.03,128.4,2.4,2.7,0.01,5.99,0.14,74,2.7,0.09,5.7,1.31,72
20200900000000 ,2020-09-12T15:54:03.000000Z,37.64,124.6,2.9,3.22,0.06,2.26,0.27,6,3.11,0.05,2.73,1.01,4
20200900000000 ,2020-09-19T16:22:14.000000Z,36.51,127.14,2.2,2.55,0.01,7.16,0.18,63,2.53,0.08,6.74,2.3,64
20200900000000 ,2020-09-22T11:08:54.000000Z,36.6,129.37,2.1,2.57,0.01,6,0.19,46,2.53,0.1,5.96,1.4,43
20201000000000 ,2020-10-06T19:05:32.000000Z,33.92,127.44,2.1,2.6,0.03,5.29,0.36,15,2.7,0.13,5.28,1.64,14
20201000000000 ,2020-10-08T19:38:14.000000Z,35.75,129.17,2.1,2.62,0.01,4.97,0.14,59,2.5,0.09,5.22,1.6,55
20201000000000 ,2020-10-24T06:09:01.000000Z,33.93,127.45,2.1,2.7,0.03,4.58,0.31,15,2.69,0.12,4.57,1.51,14
20201000000000 ,2020-10-25T10:10:49.000000Z,33.89,125.65,2.5,2.72,0.02,8.21,0.58,11,2.82,0.23,5.65,2.25,11
20201100000000 ,2020-11-03T22:23:48.000000Z,35.83,129.78,2.2,2.77,0.02,3.23,0.15,39,2.7,0.11,3.65,0.7,29
20201100000000 ,2020-11-04T07:50:30.000000Z,35.84,129.79,2.4,2.69,0.02,4.76,0.18,38,2.63,0.13,4.82,0.92,33
20201100000000 ,2020-11-06T09:27:23.000000Z,36.43,128.14,2,2.48,0.01,6.75,0.17,67,2.48,0.11,6.7,2.2,64
20201100000000 ,2020-11-08T06:26:09.000000Z,36.41,128.22,2.9,2.97,0.01,6.95,0.15,69,2.97,0.07,6.85,1.83,68
20201100000000 ,2020-11-14T15:00:29.000000Z,35.76,129.18,2.1,2.6,0.01,6.27,0.16,62,2.53,0.1,6.32,1.81,59
20201100000000 ,2020-11-19T14:17:28.000000Z,37.99,125.37,3.1,3.35,0.05,2.18,0.23,6,3.21,0.05,3.4,0.84,4
20201200000000 ,2020-12-15T08:15:31.000000Z,37.7,125.17,2.3,2.9,0.05,2.36,0.24,5,2.79,0.09,2.74,0.49,4
20201200000000 ,2020-12-18T08:17:23.000000Z,37.66,129.32,2.7,2.94,0.02,3.82,0.15,24,3.02,0.07,3.39,0.6,24
20201200000000 ,2020-12-23T12:28:20.000000Z,37.73,126.73,2.2,2.63,0.01,6.56,0.22,43,2.64,0.11,5.03,1.62,43
20210100000000 ,2021-01-13T23:17:28.000000Z,36.86,125.43,2.1,2.52,0.04,5.17,0.55,10,2.54,0.15,5.28,1.95,10
20210200000000 ,2021-02-03T03:17:56.000000Z,37.32,126.24,2.2,2.68,0.02,4.93,0.21,34,2.67,0.11,4.49,0.97,32
20210200000000 ,2021-02-10T10:28:18.000000Z,37.32,126.24,2.1,2.61,0.02,4.73,0.2,36,2.62,0.14,4.54,1.93,33
20210200000000 ,2021-02-15T09:59:25.000000Z,35.99,126.84,2.5,2.81,0.01,5.4,0.15,53,2.78,0.11,5.78,1.47,55
20210200000000 ,2021-02-21T00:03:34.000000Z,35.47,126.34,2.2,2.53,0.01,9.04,0.3,40,2.52,0.14,7.46,1.73,40
20210300000000 ,2021-03-15T17:51:52.000000Z,35.76,129.19,2.6,3.08,0.01,2.81,0.07,63,3,0.1,3.11,0.85,62
20210400000000 ,2021-04-13T12:56:15.000000Z,36.02,126.91,2,2.42,0.01,8.29,0.26,58,2.39,0.13,8.02,2.44,57
20210400000000 ,2021-04-15T16:43:23.000000Z,37.29,127.71,2.2,2.6,0.01,8.49,0.18,70,2.57,0.09,7.97,2.69,69
20210400000000 ,2021-04-19T05:20:27.000000Z,35.07,125.08,3.7,3.58,0.06,3.96,0.56,6,3.49,0.08,4.81,1.65,6
20210400000000 ,2021-04-19T17:13:27.000000Z,35.08,125.05,2.6,2.86,0.08,3.57,0.64,5,2.8,0.04,2.95,0.46,5
20210400000000 ,2021-04-25T08:07:59.000000Z,37.48,124.36,2.3,2.93,0.07,2.25,0.3,4,2.75,0.06,3.15,0.77,4
20210400000000 ,2021-04-28T03:00:40.000000Z,35.65,129.79,2.5,2.73,0.01,4.58,0.16,36,2.74,0.12,4.14,0.65,34
20210400000000 ,2021-04-28T20:12:25.000000Z,35.65,129.83,2,2.53,0.02,4.41,0.17,34,2.53,0.12,4.3,0.91,31
20210400000000 ,2021-04-30T07:15:04.000000Z,35.52,128.88,2.1,2.56,0.01,5.81,0.15,61,2.51,0.08,6.26,1.71,59
20210500000000 ,2021-05-04T13:42:08.000000Z,35.89,129.67,2,2.53,0.01,5.8,0.2,48,2.46,0.11,5.49,1.4,43
20210500000000 ,2021-05-12T21:04:28.000000Z,35.89,127.33,2,2.51,0.01,7.33,0.17,64,2.5,0.09,6.87,1.93,65
20210600000000 ,2021-06-12T21:13:51.000000Z,36.97,130.34,2,2.81,0.05,3.63,0.4,5,2.7,0.06,3.38,0.44,5
20210600000000 ,2021-06-14T13:42:17.000000Z,35.81,129.77,2.4,2.71,0.01,4.59,0.13,42,2.73,0.16,3.95,1.29,40
20210700000000 ,2021-07-06T21:57:27.000000Z,36.77,128.46,2.3,2.71,0.01,4.76,0.1,72,2.69,0.1,4.82,1.35,73
20210700000000 ,2021-07-25T21:50:56.000000Z,36.32,128.21,2.2,2.66,0.01,6.26,0.17,65,2.6,0.12,6.87,2.12,63
20210700000000 ,2021-07-30T20:17:10.000000Z,35.65,128.4,2.5,2.8,0.01,5.58,0.12,85,2.79,0.13,4.96,1.15,83
20210800000000 ,2021-08-01T05:19:26.000000Z,35.65,129.53,2.2,2.63,0.01,4.09,0.13,47,2.5,0.12,5.18,1.62,43
20210800000000 ,2021-08-20T13:26:52.000000Z,38.37,127.99,2.1,2.37,0.01,9.99,0.38,36,2.4,0.08,9.08,3.59,35
20210800000000 ,2021-08-26T06:58:14.000000Z,35.07,125.12,2.3,2.77,0.04,4.44,0.41,7,2.68,0.12,4.85,1.45,7
20210800000000 ,2021-08-27T22:03:22.000000Z,35,127.73,2.2,2.61,0.01,5.1,0.16,49,2.64,0.13,4.46,1.5,47
20210800000000 ,2021-08-29T04:03:23.000000Z,35.31,128.49,2.2,2.67,0.01,4.19,0.11,63,2.72,0.11,3.38,0.94,56
20210900000000 ,2021-09-11T17:04:46.000000Z,35.53,128.53,2.1,2.44,0.01,6.1,0.15,79,2.42,0.12,5.49,1.83,74
20210900000000 ,2021-09-13T18:36:01.000000Z,35.41,128.78,2.2,2.53,0.01,6.49,0.18,67,2.49,0.12,5.96,1.8,59
20210900000000 ,2021-09-16T20:30:13.000000Z,36.71,126.11,2.2,2.4,0.02,7.65,0.4,19,2.36,0.13,8.72,3.3,17
20210900000000 ,2021-09-19T21:58:49.000000Z,34.88,127.25,2.2,2.58,0.01,8.15,0.32,53,2.52,0.09,7.36,2.25,53
20210900000000 ,2021-09-23T03:02:43.000000Z,35.42,128.49,2.6,2.91,0.01,5.58,0.12,72,2.9,0.1,5.29,1.49,68
20211000000000 ,2021-10-06T12:55:48.000000Z,35.25,127.86,2.5,2.75,0.01,6.43,0.15,69,2.71,0.1,6.13,2.1,66
20211000000000 ,2021-10-09T17:18:51.000000Z,35.1,125.06,2.1,2.48,0.03,5.24,0.45,6,2.45,0.05,5.96,1.72,5
20211000000000 ,2021-10-19T13:13:31.000000Z,35.9,129.75,2.2,2.64,0.01,4.64,0.16,41,2.57,0.14,4.76,1.13,37
20211000000000 ,2021-10-21T21:51:48.000000Z,36.9,128.22,2.4,2.63,0.01,6.49,0.14,78,2.6,0.11,5.96,1.78,77
20211100000000 ,2021-11-11T16:31:05.000000Z,36.15,129.38,2.1,2.77,0.02,2.45,0.1,53,2.64,0.16,3.13,0.8,45
20211100000000 ,2021-11-16T02:57:58.000000Z,35.06,125.06,2.1,2.61,0.04,4.54,0.48,5,2.64,0.04,4.79,2.07,5
20211100000000 ,2021-11-16T11:53:24.000000Z,34.5,125.9,2.1,2.53,0.02,4.71,0.3,21,2.59,0.16,4.78,2.13,22
20211100000000 ,2021-11-16T16:39:11.000000Z,35.66,129.75,2.9,3.23,0.02,2.37,0.09,41,3.23,0.07,2.19,0.53,40
20211100000000 ,2021-11-18T17:35:08.000000Z,33.85,124.77,2.2,2.61,0.03,6.19,0.6,3,2.44,0.02,9.1,0.11,3
20211100000000 ,2021-11-21T20:19:31.000000Z,35.48,127.11,2.1,2.57,0.01,5.87,0.17,65,2.54,0.11,5.95,1.96,62
20211200000000 ,2021-12-04T03:33:22.000000Z,38.02,124.52,2.3,2.97,0.06,2.18,0.26,4,2.8,0.27,2.72,0.83,3
20211200000000 ,2021-12-09T01:57:47.000000Z,33.85,125.51,2.6,2.94,0.02,4.75,0.28,9,2.95,0.13,5.73,2.38,9
20211200000000 ,2021-12-14T08:19:14.000000Z,33.09,126.16,4.9,4.84,0.06,1.01,0.11,7,4.72,0.01,1.13,0.19,7
20211200000000 ,2021-12-15T06:06:47.000000Z,33.14,126.15,2.8,3.11,0.03,3.57,0.27,8,3.12,0.05,2.94,0.84,6
20211200000000 ,2021-12-15T13:02:14.000000Z,35.79,127.8,2.3,2.7,0.01,7.08,0.16,68,2.7,0.07,6.5,1.46,68
20211200000000 ,2021-12-16T21:22:10.000000Z,33.12,126.18,3.2,3.32,0.02,4.48,0.27,8,3.32,0.07,4.14,0.68,8
20220100000000 ,2022-01-27T21:46:53.000000Z,34.37,127.3,2.3,2.59,0.01,9.3,0.42,33,2.59,0.09,7.91,1.57,31
20220200000000 ,2022-02-02T03:04:55.000000Z,35.72,128.99,2.4,2.87,0.01,4.2,0.09,69,2.79,0.08,4.19,0.99,65
20220200000000 ,2022-02-03T17:47:44.000000Z,37.41,129.51,2.3,2.61,0.01,5.31,0.2,25,2.65,0.13,4.47,1.42,25
20220200000000 ,2022-02-08T06:57:13.000000Z,35.07,125.06,2.9,2.99,0.03,4.56,0.38,6,2.97,0.02,4.62,1.38,6
20220200000000 ,2022-02-10T08:20:34.000000Z,35.29,126.59,2.2,2.53,0.01,9.58,0.3,53,2.53,0.1,9.1,2.12,53
20220200000000 ,2022-02-24T03:07:10.000000Z,34,127.59,2.2,2.6,0.02,8.98,0.64,16,2.59,0.13,6.34,3.09,18
20220300000000 ,2022-03-05T13:16:21.000000Z,36.39,127.13,2.4,2.57,0.01,6.7,0.16,61,2.55,0.1,6.54,1.8,61
20220300000000 ,2022-03-06T09:40:32.000000Z,37.31,129.54,2.5,2.88,0.01,4.02,0.14,29,2.84,0.11,4.11,1.39,29
20220400000000 ,2022-04-03T05:19:19.000000Z,35.69,129.35,2,2.6,0.01,5.38,0.13,52,2.54,0.1,5.61,1.87,51
20220400000000 ,2022-04-09T01:55:42.000000Z,36.54,128.08,2.2,2.55,0.01,6.24,0.15,71,2.56,0.11,5.55,1.33,70
20220400000000 ,2022-04-09T17:45:46.000000Z,36.45,129.62,3.4,3.65,0.02,2.26,0.09,49,3.54,0.09,2.38,0.55,48
20220400000000 ,2022-04-12T05:56:28.000000Z,36.82,129.47,2.4,2.72,0.01,5.65,0.2,40,2.74,0.09,5.52,1.88,37
20220400000000 ,2022-04-15T17:08:34.000000Z,34.75,127.26,2.6,2.85,0.01,6.7,0.19,51,2.85,0.09,5.83,1.56,53
20220400000000 ,2022-04-17T14:33:29.000000Z,35.22,128.6,2.3,2.68,0.01,5.44,0.13,60,2.71,0.12,4.78,1.58,59
20220400000000 ,2022-04-18T05:22:38.000000Z,37.26,126.1,2.3,2.74,0.01,7.29,0.29,29,2.7,0.14,6.87,1.04,27
20220500000000 ,2022-05-12T21:50:56.000000Z,33.34,127.22,2.3,2.82,0.03,3.21,0.19,12,2.73,0.14,3.9,1.2,10
20220600000000 ,2022-06-29T06:26:06.000000Z,35.89,129.7,2.3,2.69,0.01,4.89,0.15,44,2.69,0.09,4.27,1.44,40
20220600000000 ,2022-06-29T17:55:34.000000Z,35.9,129.73,2.1,2.76,0.02,2.28,0.1,46,2.71,0.1,2.26,0.6,32
20220600000000 ,2022-06-30T13:51:52.000000Z,37.02,128.98,2.3,2.75,0.01,5.27,0.15,52,2.75,0.1,4.96,1.76,51
20220700000000 ,2022-07-02T22:54:23.000000Z,33.31,127.45,2.6,2.92,0.03,5.82,0.49,8,2.96,0.12,4.46,1.13,8
20220700000000 ,2022-07-20T07:19:50.000000Z,36.29,126.87,2,2.4,0.01,9.51,0.31,50,2.45,0.09,6.87,1.73,48
20220700000000 ,2022-07-20T19:46:57.000000Z,35.79,129.2,2.3,2.61,0.01,4.33,0.12,59,2.65,0.13,3.91,1.13,56
20220700000000 ,2022-07-21T09:38:09.000000Z,36.8,126.25,2.3,2.67,0.02,4.92,0.22,31,2.7,0.09,4.98,1.44,32
20220700000000 ,2022-07-22T21:27:14.000000Z,38.45,125.63,2.5,3.03,0.12,2.38,0.5,3,2.91,0.14,2.56,0.01,3
20220700000000 ,2022-07-28T20:36:56.000000Z,35.39,128.24,2.6,2.9,0.01,6.1,0.13,69,2.88,0.11,5.92,1.44,68
20220700000000 ,2022-07-31T13:05:06.000000Z,38.44,125.62,2.6,3.05,0.07,3.24,0.49,3,2.99,0.11,2.81,0.24,3
20220800000000 ,2022-08-12T10:37:47.000000Z,37.41,124.53,2.7,3.48,0.16,1.33,0.23,3,3.1,0.05,2.61,0.07,6
20220800000000 ,2022-08-24T09:31:24.000000Z,36.47,129.62,2.1,2.75,0.02,4.19,0.16,45,2.7,0.12,4.63,1.08,40
20220800000000 ,2022-08-27T16:54:23.000000Z,37.17,125.42,2.4,2.81,0.03,5.65,0.48,5,2.82,0.03,4.03,0.12,4
20220800000000 ,2022-08-31T23:33:53.000000Z,35.11,125.07,2.5,2.86,0.04,4.45,0.4,5,2.89,0.05,3.54,0.98,5
20220900000000 ,2022-09-02T15:44:46.000000Z,36.39,129.89,2,2.69,0.02,3.24,0.16,32,2.6,0.05,3.39,0.45,21
20220900000000 ,2022-09-10T05:59:48.000000Z,38.95,127.29,3.4,3.58,0.05,2.82,0.29,4,3.72,0.02,2.44,0.66,4
20220900000000 ,2022-09-11T07:28:35.000000Z,36.46,129.63,2.4,2.8,0.01,3.63,0.12,43,2.8,0.09,3.83,0.88,41
20220900000000 ,2022-09-30T19:37:53.000000Z,36.94,127.13,2.7,2.79,0.01,5.83,0.14,60,2.79,0.11,4.99,1.51,57
20221000000000 ,2022-10-28T23:27:33.000000Z,36.88,127.88,3.5,3.42,0.01,3.83,0.09,62,3.41,0.08,3.86,0.86,62
20221000000000 ,2022-10-28T23:27:49.000000Z,36.88,127.88,4.1,3.97,0.02,2.24,0.09,31,3.79,0.06,2.86,0.47,30
20221000000000 ,2022-10-31T17:27:52.000000Z,36.88,127.88,2.9,3,0.01,5.71,0.12,71,2.98,0.11,5.15,1.76,70
20221100000000 ,2022-11-05T04:21:22.000000Z,36.97,126.38,2.5,2.85,0.01,5.08,0.19,37,2.75,0.09,5.83,1.53,35
20221100000000 ,2022-11-07T15:45:45.000000Z,33.3,127.78,2.1,2.68,0.07,5.62,1.03,3,2.8,0.05,4.54,2.2,3
20221100000000 ,2022-11-19T16:01:17.000000Z,33.96,125.22,3.3,3.24,0.04,4.67,0.44,3,3.12,0.07,5.93,1.32,4
20221200000000 ,2022-12-01T06:17:58.000000Z,36.17,128.27,3.2,3.28,0.01,3.81,0.09,78,3.28,0.1,3.48,0.83,79
20221200000000 ,2022-12-03T04:22:58.000000Z,35.77,129.8,2.9,3.02,0.01,4.15,0.15,36,2.99,0.13,3.81,0.91,33
20221200000000 ,2022-12-25T10:31:07.000000Z,36.51,128.65,2.6,2.9,0.01,3.85,0.1,72,2.84,0.1,4.3,0.92,67
