evid,station,network,channel,epi_dist,hypo_dist,ptrv,strv,mw_td,fc_td
20170103200047,YEYB,KS,HH,14.492141,17.607445700506737,4.888402,7.338402,2.852346079333005,9.102981779915218
20170103200047,YODB,KS,HH,16.029364,18.89286898417932,5.168402,7.818402,2.9042688892733075,3.522536297104906
20170103200047,ULJ2,KS,HH,20.250208,22.584749722628374,5.698402,8.748402,3.0417116214682256,4.396077998744133
20170103200047,CSO,KS,HG,25.353462,27.254321611486557,6.3586,9.9386,3.084471582595535,5.84472185616389
20170103200047,ADO2,KS,EL,32.05989,33.58327849859338,7.228402,11.428402,2.73628332770174,13.578797376036354
20170103200047,PHA2,KS,EL,44.52941,45.63845387545686,9.258402,15.128402,2.7607175912030595,3.8845237039856375
20170103200047,CHS,KG,HH,46.31252,47.379841947098505,9.338394,15.148394,2.62327485900814,7.046606309148067
20170103200047,ADOA,KS,HG,48.241222,49.266779241900856,9.628402,15.698402,3.139448675473501,2.5891736755382238
20170103200047,UJN,KS,HG,48.247738,49.27315913327955,9.9186,15.9186,2.965354548026605,4.989332902827006
20170103200047,CHYB,KS,HH,49.754223,50.74921372184005,9.878402,15.998402,3.002005943278583,2.5891736755382238
20170103200047,EUSB,KS,HH,55.377563,56.273213313269295,10.758402,17.448402,2.702686215387425,5.4234717761647095
20170103200047,DKJ,KG,EL,71.24882,71.94716107774323,13.258394,21.988394,2.791260420579708,7.615807387093706
20170103200047,YOCB,KS,HH,71.74955,72.44306665191516,13.198402,21.958403,2.690469083636767,5.076207408491456
20170103200047,YOJB,KS,HH,72.27851,72.96700048120258,13.358402,22.018402,2.989788811527923,3.1396143220083257
20170103200047,YCH,KS,HG,73.0456,73.72692730301331,13.570599,22.3506,3.035603055592896,6.8664884500430015
20170103200047,IMWB,KS,HH,73.57466,74.2511331817283,13.828402,22.618402,2.846237513457675,3.23125398006994
20170103200047,SND,KG,HG,74.97225,75.63622514226215,14.058394,22.988394,2.8859431916473177,4.97499905875556
20170103200047,HAK,KG,EL,76.27046,76.92323042621895,14.218394,23.868395,3.139448675473501,2.649457869265333
20170103200047,GWL,KS,HG,78.86248,79.49396692548521,14.654601,24.1546,2.9042688892733075,5.963623316594643
20170103200047,MGB,KG,HH,91.97028,92.51233998011952,16.502857,27.402857,3.197480051289133,2.559547922699536
20170103200047,MKL,KG,HH,94.37415,94.90248036993027,17.01839,28.33839,2.7668261570783894,5.003708045214981
20170103200047,DAU,KS,HG,95.16169,95.68566871614102,17.152597,28.602598,2.959245982151275,6.389953669201315
20170103200047,DAG2,KS,HH,95.186745,95.71058648168491,16.968403,28.388403,2.7729347229537176,6.120057725843137
20170103200047,JSB,KG,HH,95.221115,95.74476885569663,17.178394,28.268394,2.910377455148636,3.906939937054617
20170103200047,HDB,KG,HH,95.35004,95.8729862038516,17.188395,28.938395,2.714903347138085,9.102981779915218
20170103200047,GKP1,KG,HH,95.65607,96.17735249907348,17.13839,28.59839,2.971463113901935,5.134962497508609
20170103200047,YOW2,KS,EL,96.567764,97.08415472396962,17.328402,28.768402,3.035603055592896,6.8664884500430015
20170103200047,CIGB,KS,HH,97.668976,98.17957445261403,17.248402,29.018402,3.133340109598171,2.680124294103586
20170103200047,USN2,KS,HG,97.94624,98.45540398508513,17.698402,29.598402,3.0478201873435555,4.271403464615318
20170103200047,SAJ,KS,HG,98.85236,99.35688092237456,17.4946,29.3346,3.053928753218885,6.710252442386787
20170105203113,USN2,KS,EL,6.7691054,12.07562786699986,3.768402,5.618402,3.191371485413804,8.94719282596512
20170105203113,MKL,KG,HH,7.02721,12.222179989480642,3.60839,5.27839,3.035603055592896,3.709762490899336
20170105203113,HDB,KG,HH,21.02347,23.280598954586623,5.248394,8.138394,3.3013256711697387,6.8664884500430015
20170105203113,DKJ,KG,EL,22.51731,24.637962844073435,5.558394,8.758394,3.420442705738669,3.829044194874125
20170105203113,DAG2,KS,HH,24.774109,26.71622112371053,6.048402,9.548402,3.334922783484052,4.396077998744133
20170105203113,BBK,KG,EL,30.577229,32.170901534819265,6.708394,10.578394,3.408225573988009,4.234695207696928
20170105203113,YOCB,KS,HH,32.037556,33.5619572564432,7.038402,11.278402,3.371574178736031,3.5023255961722035
20170105203113,YSB,KG,HH,32.301422,33.813930131218214,7.028394,11.308394,3.414334139863339,2.080658235052131
20170105203113,CGD,KG,EL,33.60293,35.05933229591043,7.308394,11.698394,3.276891407668421,5.5179055288759065
20170105203113,HAK,KG,EL,35.898666,37.2654564978662,7.658394,12.108394,3.634242511375209,1.87594236740858
20170105203113,MAK,KG,EL,42.468746,43.63020057886126,8.568394,13.848394,3.2158057489151237,4.055832086447009
20170105203113,MIYA,KS,HG,48.047573,49.07717677088217,9.598402,15.648402,3.438768403364657,2.559547922699536
20170105203113,CHS,KG,HH,48.40458,49.426746644991546,9.41839,15.51839,3.4326598374893287,2.619142334725128
20170105203113,DAU,KS,HG,52.034477,52.98666644547357,10.242598,16.662598,3.197480051289133,5.963623316594643
20170105203113,PHA2,KS,EL,52.375164,53.3212697464817,10.158402,16.708403,3.5701025696842468,1.7967071708565838
20170105203113,GKP1,KG,HH,52.96523,53.90097853164609,10.42839,17.00839,3.2891085394190807,5.646379910109332
20170105203113,BUS2,KS,HH,55.874443,56.76225318481421,10.668402,17.508402,3.258565710042431,3.442386594402016
20170105203113,CHR,KS,HG,65.54373,66.30219275241974,12.212598,20.452599,3.121122977847511,10.272160761529056
20170105203113,CSO,KS,HG,71.69156,72.38563123028446,13.2186,21.8786,3.389899876362021,3.604552139669545
20170105203113,BSA,KS,HG,72.67414,73.35891738527124,13.336597,22.106598,3.295217105294409,4.498432668969446
20170105203113,ADO2,KS,EL,76.120804,76.7748446835502,13.788402,23.008402,3.151665807224161,12.067926406393289
20170105203113,CIGB,KS,HH,78.13431,78.77163236196647,14.228402,23.648401,3.197480051289133,4.42144623344126
20170105203113,EUSB,KS,HH,80.09007,80.71195533607617,14.478402,23.978401,3.151665807224161,3.906939937054617
20170105203113,YODB,KS,HH,89.536385,90.09308610603168,15.928402,26.688402,3.496799779180291,1.4563484775012436
20170105203113,HCNA,KS,HG,92.84406,93.3810473178119,16.618402,27.938402,3.264674275917761,1.8279915229597472
20170105203113,EURB,KS,HH,92.974106,93.51034357658256,16.488401,27.618402,3.383791310486691,2.0158419396438845
20170105203113,YEYB,KS,HH,97.38325,97.89533630053856,17.078402,29.078402,3.6006453990608964,1.410980568661229
20170105203323,MKL,KG,HH,6.178719,11.754852998713876,3.19839,4.84839,2.0857210619791235,9.102981779915218
20170105203323,USN2,KS,EL,7.3685694,12.421586638618097,3.378402,5.178402,2.198729530672724,16.994981638656316
20170105203323,HDB,KG,HH,20.124294,22.47192070804196,4.828394,7.728394,2.449180731561244,15.998587196060573
20170105203323,DKJ,KG,EL,22.755396,24.855744649435923,5.158394,8.338394,2.415583619246929,10.481131341546853
20170105203323,DAG2,KS,HH,25.674984,27.55367130319474,5.638402,9.128402,2.403366487496269,9.866635766154229
20170105203323,BBK,KG,EL,29.870754,31.500189824548315,6.298394,10.188394,2.834020381707015,3.9521612184786816
20170105203323,YSB,KG,HH,32.54183,34.04365696724188,6.618394,10.838394,2.180403833046734,10.511329317580174
20170105203323,YOCB,KS,HH,32.602364,34.101526526264216,6.648402,10.818402,2.299520867615664,11.525001296667844
20170105203323,CGD,KG,EL,34.397934,35.82203038234759,6.908394,11.248394,2.360606526368961,13.00526233694225
20170105203323,MAK,KG,EL,42.46138,43.62303052195092,8.158394,13.488394,2.091829627854453,28.11768697974231
20170105203323,CHS,KG,HH,48.55034,49.56950062554218,9.02839,15.05839,2.2475980576753614,9.923572683983798
20170105203323,PHA2,KS,EL,52.0703,53.021846931740455,9.748402,16.318401,2.479723560937892,7.6377498627154115
20170105203323,DAU,KS,HG,52.89975,53.83663737857839,9.802598,16.272598,2.342280828742973,11.558206844962143
20170105203323,GKP1,KG,HH,53.831448,54.75239493258248,10.03839,16.56839,2.3911493557456094,21.209508879201906
20170105203323,BUS2,KS,HH,55.966385,56.85275927690449,10.278402,17.078402,2.305629433490994,13.117997843924616
20170105203323,CHR,KS,HG,66.3928,67.14166969306903,11.812598,19.882599,2.659926254260119,13.617920270727817
20170105203323,CSO,KS,HG,71.799614,72.49265179138962,12.8386,21.4486,2.403366487496269,15.998587196060573
20170105203323,BSA,KS,HG,72.836235,73.51950173751514,12.886597,21.676598,2.323955131116984,18.315010149974807
20170105203323,CIGB,KS,HH,78.9575,79.58822950750847,13.848402,23.298403,2.036852534976486,18.473772956994814
20170105203323,EUSB,KS,HH,80.582245,81.20035830450313,14.098402,23.658401,2.012418271475168,13.894954943731374
20170105203323,EURB,KS,HH,93.75424,94.28604288214648,16.198402,27.148401,2.0673953643531355,12.5639258449176
20170110151005,YCH,KS,HG,21.04664,23.30152509951898,6.100599,9.550599,1.9818754420985183,12.067926406393289
20170110151005,SAJ,KS,HG,23.808367,25.823212978197287,6.274601,9.474601,1.899409802781567,13.539786877427296
20170110151005,EUSB,KS,HH,25.748442,27.622133331459228,6.778402,10.528402,1.72531567533467,11.393130328294252
20170110151005,MGB,KG,HH,28.835714,30.52045906453883,6.932865,10.882865,2.036852534976486,3.851140275023064
20170110151005,MGY,KS,EL,40.0576,41.286936997842695,8.626899,13.756899,1.9940925738491784,5.963623316594643
20170110151005,CIGB,KS,HH,44.532345,45.64131609626868,9.248402,14.848402,2.455289297436572,2.559547922699536
20170110151005,ADO2,KS,EL,47.522602,48.56333708238621,9.918402,15.948402,2.0612867984778056,41.3437465129368
20170110151005,YOJB,KS,HH,48.702156,49.71820597692712,9.948402,15.968402,2.042961100851816,4.055832086447009
20170110151005,GIC,KS,HG,49.113613,50.12132275341395,9.884601,16.054602,2.0857210619791235,10.481131341546853
20170110151005,BON,KS,EL,56.999508,57.87006049162356,11.194902,18.124903,1.899409802781567,12.102696217067011
20170110151005,OKCB,KS,HH,57.10872,57.97763164539545,11.218402,18.018402,2.131535306044098,3.8400763421738113
20170110151005,CSO,KS,HG,59.381386,60.21751389679894,11.7586,19.1686,2.323955131116984,7.336226303100606
20170110151005,GKP1,KG,HH,63.733303,64.5130523244807,12.11839,20.01839,2.186512398922064,6.262552124365527
20170110151005,KMC,KG,EL,66.2367,66.98731736115592,12.528394,20.508394,2.012418271475168,8.495641315036941
20170110151005,CHS,KG,HH,66.523445,67.27086109069486,12.658394,20.928394,2.287303735865004,5.17947467923121
20170110151005,YOCB,KS,HH,70.12937,70.83875187389545,13.208402,21.998402,2.0490696667271457,5.912372195345256
20170110151005,CHYB,KS,HH,71.2743,71.97239600393368,13.328402,21.968403,2.0490696667271457,6.1908949685985295
20170110151005,YOW2,KS,EL,82.3201,82.92525959628549,15.198402,24.998402,2.055178232602476,11.425955933220544
20170110151005,JECB,KS,HH,82.34941,82.9543578952676,15.088402,24.798403,2.149861003670086,2.9301428688110644
20170110151005,DKJ,KG,EL,82.67433,83.27691826827456,15.288394,25.468393,1.9543868956595356,9.102981779915218
20170110151005,DUSB,KS,HH,83.9889,84.5821210069117,15.388402,25.358402,2.0979381937297834,3.553071237887292
20170110151005,DAG2,KS,HH,86.00344,86.58286111715225,15.688402,26.178402,2.2475980576753614,4.989332902827006
20170110151005,SND,KG,HG,86.22419,86.80213649142203,15.888394,26.278395,2.305629433490994,4.498432668969446
20170110151005,YODB,KS,HH,89.25739,89.81582368560628,16.198402,26.998402,3.725870999505154,0.2193349660252799
20170110151005,PHA2,KS,EL,89.678665,90.23448888913028,16.288403,27.468403,2.259815189426021,5.5179055288759065
20170110151005,EMSB,KS,HH,92.57484,93.1133738823986,16.808401,27.848402,2.2231637941740434,2.742526107348072
20170110151005,ULJ2,KS,HH,93.12585,93.66121584686144,16.678402,27.978401,1.9482783297842052,10.849304935996958
20170110151005,TEJ,KS,HG,94.38251,94.91078805281413,17.1028,28.2128,2.2353809259247037,6.986048078828273
20170110151005,HKU,KG,HG,96.77647,97.2917491002804,17.55839,28.92839,2.3789322239949517,3.7635137122069726
20170114025255,JRB,KG,HH,14.147825,17.32515394022204,2.788394,4.718394,2.5285920879405293,4.537427121708917
20170114025255,YSU,KS,HG,19.125181,21.581764428816456,3.514601,5.934601,2.467506429187232,13.894954943731374
20170114025255,BAU,KS,EL,19.125181,21.581764428816456,3.518402,5.938402,2.467506429187232,18.420699693267164
20170114025255,JINA,KS,HG,22.803469,24.899762748759407,4.048402,6.938402,2.449180731561244,4.498432668969446
20170114025255,GWYB,KS,HH,26.728354,28.537779886328558,4.618402,7.838402,2.430855033935254,5.061623982834208
20170114025255,GSU,KG,HH,28.223322,29.94254331046801,4.918394,8.448394,2.5285920879405293,3.807074891919232
20170114025255,GRE,KG,EL,32.964123,34.44754548791223,5.76839,9.71839,2.3300636969923136,11.7933399629526
20170114025255,HAMB,KS,HH,38.094757,39.385409950769365,6.238402,11.018402,2.430855033935254,6.827091682255049
20170114025255,HACA,KS,HG,40.532227,41.7475914288936,6.498402,11.378402,2.336172262867644,6.690974572165957
20170114025255,NAH,KS,HG,41.1203,42.31877947417584,6.4186,11.9986,2.3789322239949517,12.278053724287098
20170114025255,SCHA,KS,HG,41.835613,43.014166690345846,7.138402,12.138402,2.2292723600493733,8.278484763605588
20170114025255,NAWB,KS,HH,45.37714,46.46595354319773,7.558402,13.088402,2.436963599810584,4.1983024199532855
20170114025255,EURB,KS,HH,48.421696,49.44350933496852,8.058402,13.778402,2.2048380965480536,6.335038683312299
20170114025255,KCH2,KS,EL,50.63173,51.60980521457394,8.128402,14.378402,2.4919406926885497,9.614435312091391
20170114025255,HCNA,KS,HG,55.81304,56.70181321929756,9.788402,15.958402,2.360606526368961,5.811187517407225
20170114025255,JAS,KS,HG,59.331944,60.16875867846,9.800599,17.0306,2.449180731561244,9.72571859056158
20170114025255,IMSA,KS,HG,67.170815,67.91110603204537,11.118402,19.178402,2.342280828742973,5.407890695431176
20170114025255,TOY,KS,HG,69.11224,69.83195703015153,11.508901,19.578901,3.3593570469853717,2.2229964825261943
20170114025255,BOSB,KS,HH,69.34928,70.06655991524838,11.548402,19.788403,2.59884059550682,3.393221771895328
20170114025255,MAS2,KS,EL,71.24817,71.94651887381204,11.798402,20.168402,2.5285920879405293,18.958366568243985
20170114025255,KWJU,KS,HH,72.79256,73.47622962598325,12.268402,20.948402,1.9421697639088755,19.28847056328677
20170114025255,KWJ2,KS,HH,72.80159,73.4851787883205,12.258402,20.938402,2.360606526368961,8.020594878120825
20170114025255,YKDB,KS,HG,73.32689,74.00562584022764,12.428402,21.168402,2.461397863311902,6.8664884500430015
20170114025255,CHR,KS,HG,76.0875,76.74182619960659,12.632598,21.712599,2.64770912250946,9.559272083002964
20170114025255,KOHB,KS,HH,77.160164,77.80546825188459,12.8209,22.1309,2.7607175912030595,20.372198581026584
20170114025255,DUSB,KS,HH,80.37628,80.99596697411275,13.118402,22.558401,2.461397863311902,4.1983024199532855
20170114025255,KUJA,KS,HG,80.651184,81.26877317785528,13.438402,22.798403,2.403366487496269,5.17947467923121
20170114025255,YNDB,KS,HH,81.8115,82.42039566837082,13.628402,23.028402,2.461397863311902,4.589946042428919
20170114025255,GWJ,KS,HG,81.85149,82.46008606677512,13.770599,23.470598,2.479723560937892,13.855036156706689
20170114025255,KJM,KG,EL,82.46537,83.06947260354609,13.638394,23.208393,2.421692185122259,12.137566205658114
20170114025255,HWSB,KG,HH,84.009026,84.60210622583637,14.208863,24.148863,2.2353809259247037,7.485470021271601
20170114025255,KMC,KG,EL,91.38707,91.9325650068861,15.018394,25.668394,2.62327485900814,5.164594577247631
20170114025255,JEO2,KS,HH,96.39068,96.90801248360724,15.938402,27.168402,2.1926209647973938,13.193697239648744
20170116105413,HSB,KG,HH,25.062601,26.98395770398184,6.51839,10.28839,2.436963599810584,5.963623316594643
20170116105413,BUYB,KS,HH,30.376616,31.980287220577885,7.138402,11.318402,2.2537066235506917,5.963623316594643
20170116105413,ANM,KS,HG,32.86057,34.34846423087656,7.662598,12.042598,2.3300636969923136,13.346409056444138
20170116105413,NPR,KG,HH,40.825157,42.032052740617,8.638394,13.918394,2.3972579216209398,7.906043210907698
20170116105413,OYDB,KS,HH,47.524113,48.56481533020476,9.648402,15.648402,1.9360611980335456,17.043947158836026
20170116105413,YSAB,KS,HH,49.99394,50.98425130711374,10.018402,16.138403,2.436963599810584,5.827930566955716
20170116105413,IKSA,KS,HG,52.003803,52.95654400350171,10.398402,16.748402,2.409475053371599,6.137690684586333
20170116105413,KOJ2,KS,EL,52.155228,53.1052518343016,10.328402,16.798403,2.2475980576753614,8.374304943923505
20170116105413,SES2,KS,HH,52.42075,53.36604721513394,10.528402,17.078402,2.162078135420746,24.420530945486497
20170116105413,ECDB,KS,HH,59.69531,60.5271003686248,11.488402,18.868402,2.012418271475168,18.20992700490551
20170116105413,MND,KS,HH,60.21418,61.03890130228719,11.668402,19.038403,2.592732029631492,4.889856638611832
20170116105413,PUAA,KS,HG,67.593796,68.32950480910303,12.728402,20.728401,2.403366487496269,7.026362128606225
20170116105413,TJN,KG,HH,69.65582,70.36997686175265,13.048394,21.238394,2.3850407898702795,9.81002552629792
20170116105413,TEJ,KS,HG,70.27216,70.98011656560816,13.136597,21.476597,2.5163749561898694,8.668471465814507
20170116105413,HKU,KG,HH,75.70465,76.36225615248073,14.048394,23.008394,2.299520867615664,5.929406775681765
20170116105413,CHO,KS,HG,75.98785,76.64302183914981,13.4386,21.9886,2.5285920879405293,6.389953669201315
20170116105413,JEO2,KS,HH,76.777504,77.42599767162505,14.118402,23.238401,2.360606526368961,11.425955933220544
